1课,打招呼,你叫什么名字,,
李娜,你好|,,こんにちは,こんにちは|
山本健一,你好|,,こんにちは,こんにちは|
李娜,"我|叫|李娜|,|你|呢|?|",,私は李娜と言います、あなたは？,私|(名前は)～という|李娜|あなた|は|?|
山本健一,我|叫|山本健一|,,私は山本健一と言います,私|(名前は)～という|山本健一|
2课,打招呼,很高兴认识你,,
王伟,你好|,,こんにちは,こんにちは|
李娜,"你好|,|他|是|我|的|朋友|",,こんにちは、彼は私の友達です,"こんにちは|,|彼|～です|私|の|友達|"
王伟,"我|是|王伟|,|很|高兴|认识|你|",,私は王偉です、お知り合いになれてうれしいです,私|～です|王偉|とても|うれしい|知り合う|あなた|
山本健一,我|也|很|高兴|,,私もうれしいです,私|も|とても|うれしい|
王伟,请多多关照|,,どうぞよろしくお願いします,どうぞよろしくお願いします|
3课,生活,这是什么？,,
李娜,这|是|什么|?|,,これは何ですか？,これ|～です|何（疑問詞）|
山本健一,这|是|日文|的|杂志|,,これは日本語の雑誌です,これ|は|日本語|の|雑誌|
李娜,是|谁|的|?|,,誰のですか？,～です|誰|の|?|
山本健一,是|我|的|,,私のです,～です|私|の|
李娜,我|看|一下|,,ちょっと見てみますね,私|見る|少し|
4课,生活,他是哪国人？,,
李娜,他|是|我|的|同事|,,彼らは私の同僚です,彼|～です|私|の|同僚|
山本健一,他|是|哪|国|人|?|,,彼はどちらの国の人ですか？,彼|～です|どの（疑問詞）|国|人|?|
李娜,他|是|中国人|,,彼は中国人です,彼|～です|中国人|
山本健一,她|也|是|中国人|吗|?|,,彼女も中国人ですか？,彼女|も|～です|中国人|～ですか（疑問詞）|?|
李娜,"她|不是|中国人|,|她|是|日本人|",,彼女は中国人ではありません、彼女は日本人です,"彼女|～ではない|中国人|,|彼女|～です|日本人|"
5课,买东西,多少钱？,,
店员,你|要|买|什么|,,何が要りますか？,あなた|～したい|買う|何（疑問詞）|
山本健一,这|个|番茄|一|斤|多少|钱|?|,,このトマト一斤いくらですか？,これ|（量詞、専用の量詞のない名詞に用いる）|トマト|一|～斤（1斤 = 500g）|いくら（疑問詞）|お金|?|
店员,五|块|,,五元です,五|元（口語では块を用いることが多い）|
山本健一,要|两斤|,,二斤下さい,ほしい|二斤|
